Node ID,Latitude,Longitude
8107775,-33.8709259,151.2026423
8107779,-33.8710510,151.2024052
8107782,-33.8712121,151.2033970
8107810,-33.8709740,151.2038821
8109412,-33.8741226,151.2042532
8320040,-33.8668311,151.2033934
8588632,-33.8727825,151.2050850
8965672,-33.8702460,151.1986579
8965676,-33.8687990,151.2036324
8965680,-33.8663402,151.2107570
8965847,-33.8669238,151.2018345
8965852,-33.8659384,151.2017255
8965853,-33.8658649,151.2012290
8965854,-33.8690273,151.2015876
13757737,-33.8707284,151.2103955
13757741,-33.8702830,151.2102953
13757743,-33.8707944,151.2069874
13766899,-33.8698439,151.2082848
13812462,-33.8704467,151.2022715
13819480,-33.8710352,151.1991725
15405017,-33.8674527,151.2071557
15405025,-33.8675771,151.2084852
15405030,-33.8677821,151.2105716
15405036,-33.8691876,151.2104292
15405037,-33.8692829,151.2110549
15405039,-33.8693542,151.2120644
15405041,-33.8678379,151.2112219
15405044,-33.8664232,151.2114062
15405751,-33.8707411,151.2095008
15405753,-33.8732262,151.2091914
15406807,-33.8670156,151.2058310
15406809,-33.8670577,151.2066907
15407228,-33.8635637,151.2043920
15407240,-33.8666241,151.2057882
15407248,-33.8666903,151.2050372
15407250,-33.8727389,151.2057230
15449288,-33.8688840,151.2025790
15449293,-33.8688571,151.2034460
15449295,-33.8689516,151.2031066
15449297,-33.8695428,151.2030081
15449298,-33.8712695,151.2027886
15449300,-33.8687837,151.2045905
15449302,-33.8687311,151.2052646
15449304,-33.8686594,151.2060320
15451401,-33.8709998,151.2030149
17395592,-33.8652876,151.2035719
17395602,-33.8686785,151.2029241
17395604,-33.8696014,151.2031188
17395606,-33.8703085,151.2031507
17395607,-33.8722548,151.2026930
17395608,-33.8724426,151.2026184
17395609,-33.8728031,151.2023861
17395610,-33.8731267,151.2020277
18249036,-33.8755501,151.2044460
18249468,-33.8709016,151.2055374
18249478,-33.8709694,151.2048502
18249497,-33.8710384,151.2044035
18249980,-33.8678945,151.2035130
18249982,-33.8677913,151.2032395
18249983,-33.8686790,151.2034090
20827840,-33.8657041,151.2086891
20827842,-33.8731183,151.2081346
20827843,-33.8707790,151.2082219
20827844,-33.8688968,151.2083262
20827853,-33.8735111,151.2002339
20827892,-33.8708226,151.2080999
20827941,-33.8662299,151.2100470
20827952,-33.8669454,151.2081579
20827953,-33.8681469,151.2081413
20827954,-33.8682522,151.2084089
20827955,-33.8682814,151.2088131
20827956,-33.8709129,151.2075264
20827957,-33.8706448,151.2067585
20827958,-33.8728286,151.2072622
20827964,-33.8726468,151.2058566
20828186,-33.8724257,151.2050535
20828187,-33.8725084,151.2040614
20828188,-33.8719539,151.2045283
20828194,-33.8728880,151.2032413
20828195,-33.8729718,151.2018783
20828196,-33.8728965,151.2018624
20930449,-33.8729486,151.2090931
20930658,-33.8727008,151.2091143
20959246,-33.8631603,151.2048912
20959252,-33.8711370,151.2041626
25843319,-33.8707184,151.2113896
25843320,-33.8705736,151.2116241
25843322,-33.8706040,151.2120480
25843325,-33.8711596,151.2122487
25843327,-33.8712667,151.2114377
26377067,-33.8706475,151.2032854
26377068,-33.8724313,151.2033184
26526075,-33.8668717,151.2025732
26526386,-33.8677035,151.2098638
26526387,-33.8690813,151.2096778
26526574,-33.8651707,151.2057937
26526575,-33.8669267,151.2059861
26526576,-33.8669101,151.2061692
26526577,-33.8651701,151.2063155
26625424,-33.8707816,151.2030959
26625768,-33.8719010,151.2027321
26625772,-33.8719017,151.2028343
26627332,-33.8721155,151.2023225
26627333,-33.8722181,151.2028800
26627334,-33.8729618,151.2032439
26628045,-33.8729924,151.2022031
32355862,-33.8690838,151.2070679
33152349,-33.8713687,151.2116361
33152351,-33.8705257,151.2118677
33152352,-33.8705536,151.2117180
33165422,-33.8676919,151.2059172
77956752,-33.8730401,151.2041212
171396450,-33.8690626,151.2016396
171396451,-33.8691675,151.2025144
171396452,-33.8694014,151.2029379
171396453,-33.8695488,151.2026978
171396454,-33.8702955,151.2026924
173149647,-33.8692831,151.2118843
173149648,-33.8692305,151.2112625
173149650,-33.8688522,151.2112678
173149651,-33.8689150,151.2118939
183991315,-33.8677193,151.2051478
262241908,-33.8705047,151.2028125
282162212,-33.8666575,151.2054009
