Node ID,Latitude,Longitude
31860538,37.7705013,-122.398671
65282185,37.768536,-122.4048807
65283409,37.767326,-122.403588
65283553,37.7696787,-122.4057206
65283717,37.7690186,-122.406891
65283721,37.7700854,-122.4082856
65283725,37.7703033,-122.4085248
65283730,37.7704527,-122.40863
65283735,37.7709248,-122.4086512
65283737,37.7713009,-122.408536
65283758,37.7692714,-122.4104404
65283764,37.7703545,-122.4097443
65283765,37.7702581,-122.4091835
65283768,37.7701369,-122.4088455
65283770,37.7700867,-122.4087449
65283773,37.7699694,-122.4085407
65283776,37.769835,-122.4083261
65283778,37.7693716,-122.4076032
65283780,37.769271,-122.407461
65283790,37.7688697,-122.4065555
65283798,37.7689314,-122.4061416
65283800,37.7692242,-122.4056384
65283804,37.7694153,-122.4055043
65283808,37.7697904,-122.4054178
65283811,37.7705987,-122.4055097
65283822,37.77009,-122.4058527
65283827,37.7692613,-122.4060897
65283829,37.7691579,-122.4062203
65283831,37.7689736,-122.4067902
65283833,37.7689623,-122.4069178
65284015,37.7696352,-122.415725
65285848,37.7720567,-122.4066189
65286490,37.7682746,-122.4062513
65290262,37.7721117,-122.4075117
65290263,37.7708243,-122.4091395
65290267,37.7694301,-122.4108749
65290274,37.7694225,-122.4116501
65290284,37.7669015,-122.4106348
65290286,37.7656077,-122.4105117
65290291,37.7643089,-122.4103829
65290294,37.7630381,-122.4102625
65290926,37.7635685,-122.401478
65290928,37.7635015,-122.402459
65290947,37.7632775,-122.406324
65290951,37.763156,-122.4083274
65290965,37.7629247,-122.4121747
65293491,37.7609981,-122.4012113
65294602,37.7686504,-122.4029523
65294603,37.767373,-122.4028264
65294604,37.7660801,-122.4027193
65294608,37.7647852,-122.402581
65296192,37.7687136,-122.4117781
65296195,37.7686173,-122.4119347
65296201,37.7684133,-122.4121793
65296202,37.7680852,-122.4124247
65296204,37.7675983,-122.4126093
65296211,37.7661598,-122.4129943
65296214,37.765454,-122.413139
65296271,37.7698379,-122.4030693
65303721,37.7718329,-122.4016818
65303723,37.7711384,-122.4008152
65303726,37.7704904,-122.400019
65303878,37.7685958,-122.4038927
65303885,37.7685143,-122.4053147
65303886,37.768478,-122.4058636
65303894,37.7684205,-122.406827
65303897,37.7683619,-122.4078137
65303899,37.7683061,-122.408752
65303901,37.7682488,-122.4097451
65303911,37.7681228,-122.4117226
65303914,37.7680266,-122.4133836
65306838,37.774043,-122.414368
65308756,37.7692412,-122.4079015
65308764,37.7670817,-122.4076907
65308767,37.7657809,-122.407568
65308770,37.7644869,-122.407444
65310189,37.7696299,-122.4059593
65310195,37.7672005,-122.4057234
65310196,37.7659084,-122.405604
65310197,37.764606,-122.4054775
65313433,37.767488,-122.400877
65313437,37.7661971,-122.4007557
65315495,37.7724286,-122.4040294
65315504,37.77007,-122.4069977
65315506,37.7695306,-122.4076423
65317344,37.7648534,-122.4016013
65317347,37.764723,-122.403527
65317350,37.7646654,-122.404509
65317356,37.7645469,-122.4064438
65317361,37.764369,-122.409393
65317363,37.764255,-122.4113499
