gran,kernel_size,quantile,selectivity,metric,f1_score
4,2,0.7253424657534246,2.831996086105675,7,0.17051026495797153
15,3,0.4721917808219178,2.662367906066536,7,0.364007957883508
31,8,0.2823287671232877,1.2513698630136987,2,0.43176659480580215
19,5,0.9056164383561643,3.2175146771037184,0,0.09608649523391173
10,8,0.2689041095890411,3.3563013698630138,4,0.18387991132778642
4,4,0.5527397260273973,3.3408806262230923,8,0.16057564962300738
11,6,0.7464383561643836,3.348590998043053,0,0.15094440476539303
6,4,0.13273972602739725,2.508160469667319,6,0.3970882404896912
27,4,0.6217808219178083,2.1534833659491195,4,0.14663339519209564
9,5,0.6601369863013699,3.795792563600783,5,0.06497766389493317
3,4,0.9650684931506849,2.947651663405088,6,0.047809859683726454
3,8,0.1404109589041096,3.626164383561644,7,0.452388209848681
18,2,0.4721917808219178,3.865185909980431,4,0.13782511268923112
8,4,0.2842465753424658,1.79880626223092,1,0.38675332994327893
6,6,0.8806849315068493,0.19504892367906068,4,0.23424790746261387
14,8,0.28808219178082195,1.2282387475538161,0,0.46985396875460933
21,3,0.21328767123287673,2.1997455968688846,4,0.27068402707992056
22,6,0.7138356164383561,2.0146966731898237,7,0.30153099355649804
7,1,0.18835616438356165,0.9815068493150686,5,0.31534797023527433
19,8,0.38589041095890414,0.34154598825831706,7,0.41896264636652714
18,4,0.12698630136986302,1.852778864970646,2,0.4799806375879969
8,5,0.8423287671232876,3.071017612524462,1,0.10544594271189102
16,5,0.16726027397260274,1.6368884540117419,7,0.5184967520409727
28,6,0.5738356164383561,1.806516634050881,3,0.28863011796048527
7,6,0.7982191780821918,1.4364187866927596,7,0.2497282682572582
17,1,0.14808219178082194,1.6677299412915854,3,0.4579202467902814
3,6,0.22863013698630139,0.8966927592954992,8,0.5196112641180994
13,7,0.2554794520547945,2.5929745596868887,7,0.46134795381046906
9,8,0.05410958904109589,0.8658512720156557,5,0.4926004528931845
11,1,0.9113698630136986,2.724050880626223,1,0.07740997324888522
30,1,0.37246575342465754,3.834344422700587,2,0.2938255121944145
9,5,0.5604109589041096,3.1712524461839533,7,0.28032109462565546
8,2,0.03493150684931507,2.5390019569471627,5,0.27840438880547985
14,6,0.7042465753424657,2.69320939334638,7,0.26307449465264127
23,2,0.8595890410958904,2.51587084148728,5,0.08015680613134746
28,5,0.15575342465753425,2.0609589041095893,1,0.4052879901574759
31,2,0.196027397260274,3.017045009784736,5,0.25183697236522284
22,2,0.5067123287671232,3.7032681017612528,2,0.2714263618420645
14,5,0.4932876712328767,0.24902152641878672,6,0.5272542941694938
15,3,0.5757534246575342,2.492739726027397,1,0.24165745159934032
10,5,0.8365753424657534,2.8782583170254403,5,0.05040352515756795
9,4,0.9861643835616438,3.1943835616438356,0,0.04056277661098286
22,6,0.8154794520547946,3.0478864970645794,6,0.16133250863768292
17,6,0.6831506849315069,1.120293542074364,2,0.3456462238333836
5,6,0.6812328767123288,1.6600195694716244,3,0.19980570509682333
30,1,0.6505479452054794,0.1102348336594912,8,0.4076828471710609
4,6,0.6332876712328767,0.6499608610567515,0,0.3670137603119292
12,8,0.12123287671232875,0.7887475538160471,1,0.5594535878320342
20,5,0.13465753424657534,0.45720156555773,3,0.4449552264168958
16,1,0.8058904109589041,3.85747553816047,2,0.1486188927885149
27,5,0.7253424657534246,1.683150684931507,4,0.13189547940519808
11,3,0.9267123287671233,0.7193542074363993,7,0.2145553153604536
6,4,0.8921917808219179,2.600684931506849,2,0.10940556883055186
15,7,0.14808219178082194,0.7270645792563601,7,0.443385528693578
17,1,0.8154794520547946,1.3978669275929552,6,0.2030515624100844
12,1,0.12315068493150684,0.3569667318982388,3,0.4199640211214024
14,6,0.1826027397260274,1.6754403131115463,4,0.3073048070884653
22,1,0.2036986301369863,0.4649119373776909,6,0.4574392828618786
3,4,0.05986301369863014,3.348590998043053,6,0.380928586372911
21,1,0.15383561643835617,0.233600782778865,1,0.3540640115546859
25,1,0.3015068493150685,0.44949119373776913,6,0.4639829429593808
8,3,0.08095890410958903,3.564481409001957,0,0.37936543568632647
4,4,0.6371232876712328,0.5265949119373777,5,0.16906862514787913
16,1,0.03684931506849315,3.0324657534246575,8,0.4598237766249245
13,2,0.7406849315068493,0.07168297455968689,1,0.5103078776026723
28,2,0.34178082191780823,0.34154598825831706,6,0.4464547101320831
4,3,0.5047945205479452,3.3331702544031314,6,0.17002643421116564
13,8,0.6831506849315069,0.16420743639921725,5,0.4128748710980928
15,3,0.22863013698630139,3.4411154598825835,8,0.33293103486234105
31,8,0.2995890410958904,2.901389432485323,4,0.18758439487315498
31,1,0.803972602739726,1.8913307240704502,3,0.16783849190042083
25,8,0.5278082191780822,3.1712524461839533,0,0.2461150067469585
16,3,0.9305479452054795,0.2181800391389433,1,0.29267159332547654
31,7,0.873013698630137,3.1712524461839533,6,0.12593134562417913
27,8,0.5661643835616439,2.847416829745597,3,0.2464886877363117
18,1,0.23246575342465753,1.5983365949119375,5,0.2821757995287529
20,5,0.8212328767123288,2.454187866927593,7,0.21092046717387555
3,1,0.5623287671232877,0.025420743639921722,2,0.3773756301258946
26,5,0.780958904109589,2.3076908023483367,4,0.10141752558867101
19,4,0.2152054794520548,0.017710371819960862,6,0.3561947634855805
7,5,0.12698630136986302,2.862837573385519,0,0.38264919083816656
15,4,0.9842465753424657,3.2714872798434445,6,0.04651405458687569
31,8,0.19219178082191782,2.508160469667319,6,0.3749574220606816
27,3,0.6006849315068493,1.5906262230919768,1,0.28872441331969795
18,7,0.11931506849315068,1.744833659491194,8,0.46934609724088033
25,8,0.9535616438356165,1.4672602739726028,7,0.150723284845479
5,8,0.21328767123287673,1.6368884540117419,6,0.4405768722296969
24,1,0.942054794520548,1.1665557729941294,4,0.06765344302953141
11,3,0.9171232876712329,3.0401761252446184,2,0.10330674455383425
4,4,0.10013698630136986,3.2252250489236793,2,0.3811654627688739
20,4,0.19986301369863013,1.4132876712328768,7,0.5033429635455704
3,6,0.37054794520547946,1.012348336594912,8,0.4235235080472915
14,5,0.6256164383561644,3.9345792563600783,4,0.09985355891011112
21,2,0.3015068493150685,0.8427201565557731,4,0.3747902708616959
10,6,0.18452054794520548,1.7525440313111549,2,0.4856856918204889
30,8,0.18068493150684933,2.4156360078277888,8,0.3844341618143496
9,8,0.6352054794520547,2.3770841487279846,0,0.21594969983696444
29,8,0.9132876712328767,2.7086301369863013,0,0.10744947834364045
27,2,0.5910958904109589,3.41027397260274,2,0.25411310998122344
14,1,0.5047945205479452,1.0586105675146773,6,0.39397533788524297
28,3,0.29,1.8142270058708416,5,0.2664183940676566
5,8,0.05986301369863014,1.2667906066536205,7,0.533186086144691
27,8,0.34178082191780823,3.2560665362035226,0,0.29739184110012884
28,4,0.13082191780821917,2.616105675146771,1,0.39430291372460624
24,5,0.6793150684931507,0.3338356164383562,2,0.45648279140953685
22,4,0.4395890410958904,1.7062818003913895,0,0.3413221670328989
14,1,0.36095890410958903,3.1172798434442273,0,0.28209471819433873
31,2,0.6563013698630137,3.4179843444227007,5,0.12811468070611873
28,1,0.8749315068493151,1.2051076320939336,0,0.17449474292702508
31,5,0.7636986301369862,0.5420156555772995,6,0.33719329323438446
20,8,0.6026027397260274,2.677788649706458,7,0.31843017744682184
24,5,0.3110958904109589,2.78573385518591,8,0.33394124130833064
8,7,0.9804109589041096,3.2406457925636007,5,0.0356889195594544
22,3,0.3628767123287671,0.09481409001956947,2,0.34871295867130747
11,4,0.476027397260274,1.074031311154599,6,0.40374461410571144
19,7,0.9478082191780822,1.5674951076320942,6,0.11498910332579872
4,2,0.9631506849315068,1.7833855185909984,0,0.05463890777301137
21,3,0.7080821917808219,1.8913307240704502,7,0.3030298041125178
20,3,0.021506849315068494,2.60839530332681,8,0.47916288538534724
11,4,0.3763013698630137,2.808864970645793,2,0.3281824276888376
24,6,0.44917808219178085,1.289921722113503,2,0.40848435967852503
21,5,0.4453424657534247,0.07939334637964775,4,0.3493947072649778
17,4,0.6773972602739726,1.4903913894324854,1,0.2668001085180269
26,2,0.6735616438356165,1.6600195694716244,7,0.33954205485957695
18,8,0.47986301369863016,2.523581213307241,0,0.2816443342754323
18,2,0.266986301369863,3.124990215264188,0,0.32019591436756784
10,5,0.14616438356164385,1.243659491193738,0,0.5214505654177964
6,5,0.8384931506849315,2.554422700587084,7,0.15330553805625752
25,4,0.031095890410958907,3.1866731898238747,7,0.4790887313514591
25,4,0.03684931506849315,1.3978669275929552,1,0.48481450116255703
15,7,0.33794520547945206,2.4233463796477497,5,0.17145789389545926
14,8,0.7080821917808219,2.4310567514677106,7,0.28133382146946095
31,7,0.5642465753424658,0.24131115459882588,8,0.44788750783753
3,3,0.8615068493150685,1.120293542074364,0,0.12895618159077804
26,8,0.01,2.4310567514677106,5,0.3876822237956702
18,3,0.546986301369863,3.734109589041096,5,0.119479554569972
3,1,0.40506849315068494,2.639236790606654,6,0.20554358142120568
17,3,0.7023287671232876,2.3770841487279846,4,0.11622982408417286
22,5,0.5373972602739726,1.0817416829745599,7,0.4454496584559932
21,4,0.12890410958904108,0.8272994129158514,8,0.49870495256546415
15,4,0.2650684931506849,2.2228767123287674,8,0.39025815118918744
6,7,0.02917808219178082,1.8990410958904111,4,0.35792081193377195
5,5,0.3226027397260274,1.0817416829745599,4,0.2966889977911847
17,3,0.545068493150685,3.294618395303327,5,0.1216112524817533
4,1,0.16534246575342468,0.5497260273972604,2,0.5615878435614404
28,8,0.3456164383561644,0.6730919765166341,5,0.36653942336716194
22,2,0.966986301369863,0.15649706457925638,3,0.24284349044424777
14,2,0.07520547945205479,0.14107632093933467,6,0.36626003449812533
11,4,0.3341095890410959,3.1635420743639924,7,0.39342350723023417
18,2,0.15767123287671234,1.2051076320939336,7,0.49916738386500664
16,7,0.8538356164383561,2.51587084148728,3,0.13824206607638836
22,8,0.5067123287671232,1.744833659491194,3,0.3238504955748174
24,1,0.021506849315068494,3.3717221135029356,5,0.32074892196301213
26,6,0.7138356164383561,3.872896281800392,4,0.09260821403481531
23,8,0.4261643835616438,1.6600195694716244,0,0.3513602220340618
10,2,0.7771232876712328,2.0378277886497065,6,0.1589559443432793
10,5,0.5757534246575342,1.7525440313111549,4,0.1655712641788338
7,2,0.01958904109589041,2.9322309197651664,1,0.4943734508718946
12,2,0.4108219178082192,2.5312915851272018,7,0.396324736879191
22,2,0.37054794520547946,3.564481409001957,4,0.17076435586114388
7,2,0.5028767123287671,0.34154598825831706,3,0.5538324746670796
25,2,0.968904109589041,1.4441291585127203,8,0.09368505724613391
4,3,0.18452054794520548,2.901389432485323,4,0.21619588568285805
24,5,0.32452054794520546,0.07939334637964775,5,0.3467929182573843
10,2,0.20945205479452056,1.8296477495107635,8,0.43444631501386605
19,3,0.32068493150684935,0.6499608610567515,7,0.47897752156829027
30,5,0.031095890410958907,3.017045009784736,0,0.4196018843941467
12,4,0.8423287671232876,0.6576712328767124,1,0.2628912560580703
19,8,0.46643835616438356,1.2051076320939336,1,0.3939653726614925
24,7,0.685068493150685,1.4672602739726028,2,0.3119695140738922
4,8,0.8404109589041096,0.8735616438356165,1,0.20115496720348008
14,5,0.14232876712328768,1.1511350293542075,1,0.5205478248840796
5,2,0.6083561643835617,2.461898238747554,4,0.10660704573043739
24,3,0.9631506849315068,3.9345792563600783,6,0.06434434057551706
18,1,0.7310958904109589,3.518219178082192,3,0.14700957814805873
4,5,0.7272602739726027,0.36467710371819967,5,0.17994713344452495
21,8,0.8672602739726027,1.3747358121330726,2,0.23165351696774208
30,2,0.6831506849315069,3.518219178082192,7,0.2371379269996461
17,2,0.8346575342465753,3.9422896281800393,8,0.12007643821928002
18,1,0.6678082191780822,3.6492954990215267,1,0.1690726659996751
31,6,0.32452054794520546,3.95,2,0.3136007274579589
22,2,0.1058904109589041,2.631526418786693,3,0.4239766230075239
22,1,0.7943835616438356,0.9660861056751469,1,0.25567319716439785
15,2,0.5201369863013698,1.5366536203522507,1,0.3308389493912188
24,8,0.9382191780821918,3.2483561643835617,3,0.08823330137539698
22,3,0.42232876712328765,2.3154011741682976,6,0.3202987011487635
25,7,0.36095890410958903,0.6730919765166341,4,0.3371689372348235
21,2,0.5201369863013698,0.6345401174168298,6,0.45138591943873735
11,5,0.5738356164383561,1.806516634050881,8,0.2786136840611146
22,7,0.37246575342465754,2.7086301369863013,5,0.18133520053563384
13,1,0.7828767123287671,1.8836203522504895,3,0.16951240408713558
20,6,0.6620547945205479,3.749530332681018,7,0.24937449976817666
13,3,0.7521917808219178,0.36467710371819967,5,0.23132398419501024
12,7,0.03493150684931507,3.803502935420744,3,0.43799467926475977
27,1,0.24397260273972604,3.95,0,0.28983680292952035
17,3,0.8308219178082191,3.2175146771037184,4,0.06831546630565458
7,2,0.4779452054794521,2.9399412915851273,0,0.21357498670525907
26,7,0.35328767123287674,0.9429549902152643,1,0.4334712209995665
15,5,0.13082191780821917,3.009334637964775,3,0.3938345862236877
10,4,0.03493150684931507,1.8913307240704502,7,0.5415336373858912
10,6,0.15,2.716340508806262,2,0.43702468516188187
5,2,0.6831506849315069,0.4957534246575343,2,0.4049461726601382
24,4,0.1634246575342466,0.36467710371819967,1,0.42266154489539937
6,8,0.3973972602739726,1.0431898238747555,4,0.27358617398039853
18,2,0.32452054794520546,2.9707827788649706,3,0.3061956942176931
25,4,0.6773972602739726,1.2205283757338554,2,0.33117063940455893
20,5,0.45301369863013696,0.2798630136986302,3,0.4912433984849684
11,3,0.57,1.4903913894324854,8,0.3020874441183764
19,4,0.19986301369863013,3.1095694716242663,7,0.45246432941949366
6,8,0.43575342465753425,0.5959882583170255,3,0.5073611541022001
17,7,0.6352054794520547,2.353953033268102,3,0.2306292413061437
19,7,0.803972602739726,0.6653816046966733,1,0.29661452452955545
8,5,0.5853424657534246,0.04084148727984345,1,0.3745163969011243
23,1,0.5987671232876712,3.3100391389432486,6,0.22226083351639536
9,7,0.7943835616438356,0.17962818003913897,0,0.49709342912023413
13,3,0.40506849315068494,0.8889823874755383,1,0.4609466156491809
9,7,0.27465753424657535,1.5058121330724072,0,0.4287950146421971
11,8,0.6179452054794521,2.955362035225049,6,0.2165892199099756
26,1,0.6678082191780822,3.641585127201566,5,0.11160533304866098
23,4,0.7732876712328767,2.1303522504892367,8,0.20559215090834868
30,6,0.43,1.9992759295499023,6,0.3320578118193191
9,6,0.336027397260274,3.6570058708414876,5,0.11951225281478206
16,6,0.6102739726027397,2.2768493150684934,2,0.2954482515468831
23,4,0.7157534246575342,0.8658512720156557,8,0.3315892981290168
31,7,0.5565753424657535,1.2051076320939336,2,0.3589917011136458
14,8,0.6793150684931507,1.7525440313111549,6,0.2611674282114365
10,1,0.7368493150684932,1.791095890410959,5,0.0923084520932237
25,1,0.33794520547945206,0.6730919765166341,2,0.47215152287232787
4,3,0.7483561643835617,1.575205479452055,5,0.059185992094088646
5,8,0.4089041095890411,0.05626223091976517,2,0.3830715641993044
6,5,0.6102739726027397,1.1665557729941294,3,0.2807715937723457
28,4,0.21712328767123287,0.47262230919765175,1,0.4546295051675931
14,3,0.1058904109589041,0.31070450097847363,1,0.3930194078819675
12,4,0.033013698630136985,3.2714872798434445,6,0.4719494256055036
20,2,0.2823287671232877,1.405577299412916,1,0.43906896108894083
18,7,0.7828767123287671,1.3284735812133075,0,0.22376350309946091
