gran,kernel_size,threshold,selectivity,shift,f1_score
7.0,3.0,0.08095890410958903,3.757945205479452,17.0,0.2510436336874873
19.0,3.0,0.28616438356164386,0.8689041095890412,-11.0,0.34940660857656103
20.0,8.0,0.07136986301369863,0.04123287671232877,-4.0,0.3503416999165948
46.0,8.0,0.8749315068493151,1.2124657534246577,-6.0,0.13605465109391546
44.0,2.0,0.38589041095890414,1.5247945205479452,-26.0,0.15770554258679345
16.0,3.0,0.5354794520547945,1.3686301369863014,16.0,0.36637613334782615
29.0,3.0,0.1634246575342466,0.4394520547945206,1.0,0.4355341335922462
5.0,1.0,0.2842465753424658,0.416027397260274,7.0,0.550755750647572
33.0,3.0,0.03684931506849315,2.047945205479452,-22.0,0.24133561811973586
47.0,1.0,0.19027397260273973,2.4773972602739724,-17.0,0.20591219572444547
7.0,6.0,0.8615068493150685,2.992739726027397,6.0,0.13072847925705527
27.0,2.0,0.9478082191780822,1.4076712328767125,5.0,0.17505878508811187
5.0,7.0,0.9478082191780822,3.4378082191780823,2.0,0.07449451429838999
10.0,3.0,0.13082191780821917,1.189041095890411,16.0,0.44346587629398654
2.0,4.0,0.5642465753424658,1.4076712328767125,-2.0,0.26994189526542595
12.0,1.0,0.7138356164383561,1.9073972602739726,28.0,0.08243154525188029
6.0,3.0,0.7080821917808219,3.305068493150685,2.0,0.15787063510268237
46.0,2.0,0.35328767123287674,2.4383561643835616,-8.0,0.23957033813975898
36.0,1.0,0.5891780821917808,3.398767123287671,21.0,0.35948446627356306
21.0,5.0,0.7387671232876712,3.6876712328767125,11.0,0.2580385803895386
3.0,8.0,0.0732876712328767,3.6017808219178082,-27.0,0.15445740436818783
38.0,7.0,0.8193150684931507,3.023972602739726,23.0,0.2747267820168833
30.0,6.0,0.6236986301369863,2.407123287671233,2.0,0.32172608521301216
12.0,3.0,0.4606849315068493,1.9073972602739726,26.0,0.1601837847299491
37.0,4.0,0.7732876712328767,1.4467123287671233,-18.0,0.1030332760484361
20.0,2.0,0.6121917808219178,2.586712328767123,31.0,0.11565241557386953
2.0,4.0,0.6716438356164384,2.3602739726027395,7.0,0.13876124391203584
41.0,5.0,0.5757534246575342,2.329041095890411,28.0,0.4109011783733651
5.0,7.0,0.44917808219178085,2.157260273972603,3.0,0.3155377293944009
8.0,5.0,0.9497260273972603,3.5393150684931505,29.0,0.01955858668916762
11.0,4.0,0.6601369863013699,3.8672602739726027,15.0,0.14327956866077293
41.0,3.0,0.43,0.2989041095890411,-6.0,0.3626503654531812
11.0,5.0,0.43767123287671234,1.6965753424657535,15.0,0.3123175792609205
43.0,3.0,0.15575342465753425,0.9469863013698631,28.0,0.5180215055989809
17.0,4.0,0.500958904109589,1.8215068493150686,-18.0,0.1644119756336395
11.0,5.0,0.07904109589041096,3.92972602739726,-22.0,0.17616360041535195
47.0,2.0,0.5124657534246575,3.836027397260274,-15.0,0.11112966271834136
39.0,3.0,0.8653424657534247,1.3686301369863014,3.0,0.24615714619332454
2.0,1.0,0.802054794520548,0.8454794520547946,24.0,0.057595978418728946
28.0,2.0,0.6428767123287671,2.3524657534246574,23.0,0.31421028724965105
24.0,3.0,0.44726027397260276,1.915205479452055,-31.0,0.11320518609017016
8.0,3.0,0.26123287671232875,0.04904109589041096,8.0,0.38088438396560165
19.0,7.0,0.03493150684931507,2.04013698630137,14.0,0.5799940834962398
43.0,4.0,0.12123287671232875,3.10986301369863,26.0,0.516313536879688
7.0,4.0,0.9804109589041096,2.5632876712328767,29.0,0.013500425694124761
45.0,8.0,0.3552054794520548,1.8058904109589042,14.0,0.5119978883528414
21.0,5.0,0.6179452054794521,1.4935616438356165,5.0,0.40580672830765996
46.0,3.0,0.031095890410958907,3.640821917808219,-3.0,0.3618044150235935
13.0,7.0,0.8423287671232876,1.0953424657534248,10.0,0.2706472042840213
16.0,8.0,0.5047945205479452,0.16616438356164384,-17.0,0.3372501342508486
22.0,1.0,0.8097260273972603,3.804794520547945,-16.0,0.058933757903781636
14.0,7.0,0.5776712328767123,3.5471232876712326,-26.0,0.07746773078594536
14.0,1.0,0.7215068493150685,1.9308219178082193,-13.0,0.12051004842658541
40.0,5.0,0.41657534246575345,3.711095890410959,-17.0,0.12081723365759778
43.0,3.0,0.5431506849315069,3.586164383561644,3.0,0.28340564081597325
20.0,3.0,0.44726027397260276,2.086986301369863,-24.0,0.1295909165053315
16.0,2.0,0.9593150684931506,2.2353424657534244,-7.0,0.05028802938197843
46.0,1.0,0.45684931506849313,2.1884931506849314,26.0,0.48078486337809706
